Order_ID,Order_Date,Customer_ID,Age,Gender,State,Product_Name,Category,Quantity,Unit_Price,Revenue,Payment_Method,Channel,Customer_Type,Year,Month,Month_Name,Quarter
ORD00001,2024-09-27,CUST6191,38,Male,Haryana,Immunity Booster,Immunity,4,649,2596,Debit Card,Flipkart,New,2024,9,September,3
ORD00002,2025-10-25,CUST9322,39,Male,Maharashtra,Weight Control Capsules,Weight Management,4,1199,4796,COD,Amazon,New,2025,10,October,4
ORD00003,2024-06-09,CUST5555,39,Male,Punjab,Detox Tea,Detox,5,599,2995,UPI,Flipkart,Repeat,2024,6,June,2
ORD00004,2025-11-30,CUST1189,20,Male,Karnataka,Hair Serum,Hair Care,4,699,2796,Debit Card,Website,Repeat,2025,11,November,4
ORD00005,2025-08-23,CUST9433,26,Female,Bihar,Hair Serum,Hair Care,4,699,2796,Credit Card,Flipkart,Repeat,2025,8,August,3
ORD00006,2024-02-04,CUST4152,53,Female,Rajasthan,Detox Tea,Detox,5,599,2995,COD,Amazon,Repeat,2024,2,February,1
ORD00007,2025-04-21,CUST7873,51,Female,Uttar Pradesh,Skin Glow Tablets,Beauty,2,799,1598,Credit Card,Flipkart,Repeat,2025,4,April,2
ORD00008,2025-12-02,CUST7439,38,Female,Maharashtra,Skin Glow Tablets,Beauty,4,799,3196,Debit Card,Website,Repeat,2025,12,December,4
ORD00009,2024-07-06,CUST9571,58,Male,Delhi,Hair Oil,Hair Care,4,499,1996,UPI,Flipkart,Repeat,2024,7,July,3
ORD00010,2025-10-09,CUST6258,34,Female,Karnataka,Hair Oil,Hair Care,4,499,1996,Debit Card,Website,Repeat,2025,10,October,4
ORD00011,2024-02-10,CUST4099,24,Male,Rajasthan,Hair Serum,Hair Care,2,699,1398,COD,Amazon,New,2024,2,February,1
ORD00012,2024-04-08,CUST3731,57,Female,Karnataka,Immunity Booster,Immunity,5,649,3245,UPI,Flipkart,New,2024,4,April,2
ORD00013,2024-01-05,CUST8385,31,Male,Punjab,Skin Glow Tablets,Beauty,3,799,2397,Debit Card,Flipkart,New,2024,1,January,1
ORD00014,2025-11-21,CUST1863,56,Male,Uttar Pradesh,Detox Tea,Detox,5,599,2995,UPI,Amazon,New,2025,11,November,4
ORD00015,2025-10-16,CUST4242,46,Female,Gujarat,Immunity Booster,Immunity,5,649,3245,Debit Card,Flipkart,New,2025,10,October,4
ORD00016,2025-07-10,CUST3693,45,Female,Uttar Pradesh,Hair Serum,Hair Care,2,699,1398,Credit Card,Amazon,Repeat,2025,7,July,3
ORD00017,2025-04-17,CUST8392,18,Male,Punjab,Hair Serum,Hair Care,4,699,2796,COD,Website,Repeat,2025,4,April,2
ORD00018,2025-10-10,CUST5413,54,Male,Karnataka,Immunity Booster,Immunity,3,649,1947,Credit Card,Flipkart,New,2025,10,October,4
ORD00019,2024-04-22,CUST2853,29,Female,Gujarat,Hair Oil,Hair Care,4,499,1996,Credit Card,Flipkart,New,2024,4,April,2
ORD00020,2025-11-29,CUST5737,45,Female,Gujarat,Hair Oil,Hair Care,1,499,499,UPI,Website,Repeat,2025,11,November,4
ORD00021,2024-02-22,CUST2707,43,Female,West Bengal,Skin Glow Tablets,Beauty,2,799,1598,COD,Flipkart,Repeat,2024,2,February,1
ORD00022,2025-02-04,CUST9958,55,Female,Bihar,Hair Capsules,Hair Care,3,899,2697,COD,Amazon,Repeat,2025,2,February,1
ORD00023,2024-07-19,CUST5282,23,Female,Karnataka,Hair Capsules,Hair Care,1,899,899,COD,Flipkart,New,2024,7,July,3
ORD00024,2025-05-25,CUST9338,37,Female,Gujarat,Hair Serum,Hair Care,3,699,2097,COD,Website,Repeat,2025,5,May,2
ORD00025,2025-10-02,CUST2802,45,Male,Punjab,Immunity Booster,Immunity,2,649,1298,Credit Card,Flipkart,Repeat,2025,10,October,4
ORD00026,2024-09-19,CUST7287,43,Female,Punjab,Hair Serum,Hair Care,3,699,2097,COD,Website,New,2024,9,September,3
ORD00027,2025-03-28,CUST4108,49,Male,Gujarat,Skin Glow Tablets,Beauty,4,799,3196,UPI,Website,New,2025,3,March,1
ORD00028,2024-05-31,CUST7197,50,Female,Uttar Pradesh,Hair Capsules,Hair Care,4,899,3596,Debit Card,Website,New,2024,5,May,2
ORD00029,2024-09-10,CUST3557,42,Male,Punjab,Skin Glow Tablets,Beauty,4,799,3196,UPI,Amazon,New,2024,9,September,3
ORD00030,2024-06-11,CUST1956,58,Female,Delhi,Hair Serum,Hair Care,2,699,1398,COD,Website,Repeat,2024,6,June,2
ORD00031,2025-02-04,CUST5735,50,Female,Karnataka,Detox Tea,Detox,3,599,1797,Credit Card,Flipkart,New,2025,2,February,1
ORD00032,2025-07-16,CUST6895,44,Male,Maharashtra,Skin Glow Tablets,Beauty,5,799,3995,UPI,Amazon,Repeat,2025,7,July,3
ORD00033,2025-03-28,CUST8996,36,Female,Karnataka,Immunity Booster,Immunity,1,649,649,COD,Website,New,2025,3,March,1
ORD00034,2024-06-06,CUST2069,23,Male,Punjab,Detox Tea,Detox,4,599,2396,UPI,Website,Repeat,2024,6,June,2
ORD00035,2025-11-30,CUST6088,38,Female,Gujarat,Weight Control Capsules,Weight Management,3,1199,3597,UPI,Flipkart,New,2025,11,November,4
ORD00036,2025-07-19,CUST1569,20,Female,Rajasthan,Hair Oil,Hair Care,2,499,998,Credit Card,Flipkart,Repeat,2025,7,July,3
ORD00037,2025-05-04,CUST2409,43,Male,Rajasthan,Hair Serum,Hair Care,3,699,2097,UPI,Website,Repeat,2025,5,May,2
ORD00038,2025-11-12,CUST3806,43,Male,Maharashtra,Immunity Booster,Immunity,5,649,3245,UPI,Website,New,2025,11,November,4
ORD00039,2024-02-05,CUST5780,37,Male,Rajasthan,Immunity Booster,Immunity,1,649,649,COD,Amazon,Repeat,2024,2,February,1
ORD00040,2025-04-15,CUST6919,40,Male,West Bengal,Detox Tea,Detox,3,599,1797,Debit Card,Website,New,2025,4,April,2
ORD00041,2024-05-29,CUST7457,39,Male,Uttar Pradesh,Skin Glow Tablets,Beauty,5,799,3995,Credit Card,Amazon,New,2024,5,May,2
ORD00042,2025-09-04,CUST4124,22,Male,Uttar Pradesh,Hair Capsules,Hair Care,4,899,3596,Credit Card,Website,New,2025,9,September,3
ORD00043,2025-10-17,CUST5465,59,Female,Karnataka,Skin Glow Tablets,Beauty,3,799,2397,UPI,Flipkart,Repeat,2025,10,October,4
ORD00044,2025-04-18,CUST9308,40,Male,Punjab,Hair Serum,Hair Care,2,699,1398,COD,Website,New,2025,4,April,2
ORD00045,2024-04-05,CUST8805,42,Female,Bihar,Hair Serum,Hair Care,1,699,699,UPI,Website,Repeat,2024,4,April,2
ORD00046,2024-09-03,CUST9130,29,Female,Karnataka,Immunity Booster,Immunity,5,649,3245,UPI,Amazon,New,2024,9,September,3
ORD00047,2024-03-09,CUST3141,22,Female,Haryana,Skin Glow Tablets,Beauty,4,799,3196,Credit Card,Website,Repeat,2024,3,March,1
ORD00048,2024-01-23,CUST6881,27,Female,Bihar,Hair Oil,Hair Care,5,499,2495,COD,Amazon,New,2024,1,January,1
