Order_ID,Order_Date,Customer_ID,Age,Gender,State,Product_Name,Category,Quantity,Unit_Price,Revenue,Payment_Method,Channel,Customer_Type
ORD00001,2024-09-27,CUST6191,38,Male,Haryana,Immunity Booster,Immunity,4,649,2596,Debit Card,Flipkart,New
ORD00002,2025-10-25,CUST9322,39,Male,Maharashtra,Weight Control Capsules,Weight Management,4,1199,4796,COD,Amazon,New
ORD00003,2024-06-09,CUST5555,39,Male,Punjab,Detox Tea,Detox,5,599,2995,UPI,Flipkart,Repeat
ORD00004,2025-11-30,CUST1189,20,Male,Karnataka,Hair Serum,Hair Care,4,699,2796,Debit Card,Website,Repeat
ORD00005,2025-08-23,CUST9433,26,Female,Bihar,Hair Serum,Hair Care,4,699,2796,Credit Card,Flipkart,Repeat
ORD00006,2024-02-04,CUST4152,53,Female,Rajasthan,Detox Tea,Detox,5,599,2995,COD,Amazon,Repeat
ORD00007,2025-04-21,CUST7873,51,Female,Uttar Pradesh,Skin Glow Tablets,Beauty,2,799,1598,Credit Card,Flipkart,Repeat
ORD00008,2025-12-02,CUST7439,38,Female,Maharashtra,Skin Glow Tablets,Beauty,4,799,3196,Debit Card,Website,Repeat
ORD00009,2024-07-06,CUST9571,58,Male,Delhi,Hair Oil,Hair Care,4,499,1996,UPI,Flipkart,Repeat
ORD00010,2025-10-09,CUST6258,34,Female,Karnataka,Hair Oil,Hair Care,4,499,1996,Debit Card,Website,Repeat
ORD00011,2024-02-10,CUST4099,24,Male,Rajasthan,Hair Serum,Hair Care,2,699,1398,COD,Amazon,New
ORD00012,2024-04-08,CUST3731,57,Female,Karnataka,Immunity Booster,Immunity,5,649,3245,UPI,Flipkart,New
ORD00013,2024-01-05,CUST8385,31,Male,Punjab,Skin Glow Tablets,Beauty,3,799,2397,Debit Card,Flipkart,New
ORD00014,2025-11-21,CUST1863,56,Male,Uttar Pradesh,Detox Tea,Detox,5,599,2995,UPI,Amazon,New
ORD00015,2025-10-16,CUST4242,46,Female,Gujarat,Immunity Booster,Immunity,5,649,3245,Debit Card,Flipkart,New
